georg,2560.660
bailey,1923.076
christma,1576.217
stewart,1449.759
capra,1263.429
life,1166.412
clarenc,930.834
wonder,864.721
angel,822.749
potter,756.268
bedford,708.978
he,648.811
donna,635.986
town,608.469
hi,605.158
reed,570.955
jimmi,531.979
frank,480.845
barrymor,464.644
mari,447.541
lionel,440.495
jame,431.490
him,423.221
s,418.645
holiday,379.119
loan,376.427
we,374.560
man,371.353
traver,361.443
fall,360.604
famili,359.741
film,341.869
mr,337.002
world,322.060
born,317.567
classic,317.127
live,307.582
you,302.138
never,301.130
suicid,297.388
guardian,296.828
watch,278.455
when,276.855
ha,276.188
would,275.710
show,274.960
as,268.828
how,268.291
everi,264.791
year,264.156
been,262.045
peopl,261.640
had,258.882
henri,258.629
time,255.818
what,254.312
i,253.360
my,252.421
good,252.122
t,251.105
dream,249.652
love,249.629
movi,248.765
feel,246.294
help,244.347
can,243.626
who,240.998
be,240.831
us,240.718
save,240.438
all,234.128
1946,233.798
our,233.463
uncl,233.002
wa,228.870
if,228.582
that,227.383
get,227.067
by,225.542
have,224.623
about,223.570
on,223.490
at,223.362
without,218.996
end,218.996
messag,217.972
from,216.828
friend,216.146
money,214.500
so,214.265
other,214.076
ever,212.616
an,209.451
one,209.008
mani,208.202
bank,207.037
thing,204.975
see,204.652
happi,200.178
up,198.903
eve,198.846
make,198.777
like,198.652
busi,198.201
even,197.963
no,194.854
not,194.565
season,191.854
build,191.637
think,191.179
made,191.104
for,190.214
just,189.530
import,188.848
becaus,188.193
with,188.050
want,187.484
stori,186.433
great,184.922
wing,182.991
or,181.793
old,181.624
after,181.202
wish,180.865
realli,180.292
do,180.208
everyon,180.054
sentiment,178.977
person,178.909
emot,177.431
small,177.373
heart,176.766
which,176.544
alway,176.348
over,174.804
favorit,173.611
but,173.294
out,173.125
most,172.724
your,172.680
billi,171.125
then,170.669
exist,170.595
take,170.438
me,170.424
greatest,169.462
give,167.919
littl,167.848
will,167.040
onli,166.549
in,166.400
are,165.559
come,165.524
it,163.552
there,163.301
realiz,161.504
could,161.303
pottersvil,160.828
best,159.822
brother,157.982
through,156.696
well,156.232
into,155.562
tear,155.443
home,155.097
touch,154.660
around,154.120
more,153.805
need,153.687
scene,153.409
they,153.307
own,153.150
don,151.497
valu,150.271
mitchel,148.178
much,147.990
depress,147.706
play,147.617
10,147.379
veri,147.135
god,144.854
down,144.442
is,144.343
wife,144.205
seen,144.018
should,143.145
father,143.110
better,141.904
than,141.631
becom,141.323
say,141.305
know,140.860
such,140.188
gower,140.090
truli,139.433
amp,139.251
those,137.657
perfect,137.134
commun,137.046
cri,137.027
scroog,136.853
to,136.849
carol,136.369
where,136.270
go,135.836
himself,135.795
befor,135.207
still,135.158
way,134.910
doe,134.245
some,134.176
act,134.029
also,133.744
ve,133.649
back,133.192
joy,133.087
ani,131.405
doesn,131.213
thi,130.691
charact,130.544
actor,130.532
harri,130.249
now,129.716
perform,127.219
first,127.049
m,126.883
again,125.651
their,124.144
anyon,124.124
work,123.582
find,121.563
run,121.247
marri,120.657
whi,120.418
timeless,120.186
right,119.478
human,118.412
american,118.400
matter,117.826
here,117.815
today,117.780
failur,117.614
put,116.755
kind,116.646
too,116.107
day,115.988
view,115.899
age,115.810
point,115.732
moment,115.342
gift,114.968
part,114.905
look,114.904
believ,114.704
someth,114.573
them,114.478
seem,114.448
warm,114.062
whole,113.940
though,113.778
thoma,113.224
leav,112.280
true,111.844
until,111.408
spirit,111.368
sacrific,111.344
mean,111.090
each,110.772
despair,110.700
shown,110.203
baili,109.435
tri,108.842
differ,107.074
white,106.349
may,105.976
financi,105.913
same,105.905
colleg,105.883
beauti,105.649
hous,105.647
everyth,104.877
final,104.852
away,104.779
moral,104.679
got,104.361
goe,103.967
a,103.753
lesson,103.574
off,101.954
real,101.938
turn,101.766
name,101.695
were,101.470
bridg,101.268
travel,100.949
fact,100.453
happen,100.260
enjoy,99.941
appreci,99.640
dure,99.542
cast,99.130
hard,98.982
magic,98.743
did,98.588
her,98.570
iawl,98.454
hope,98.364
of,98.360
learn,98.294
quit,98.284
impact,98.247
bring,98.098
isn,97.842
lose,97.296
contempl,96.958
long,96.006
top,95.850
yet,95.671
simpl,95.634
power,95.128
while,95.056
children,94.905
care,94.826
must,94.467
black,94.077
worth,94.055
role,93.815
re,93.186
given,93.035
uplift,92.987
direct,91.843
few,91.829
howev,91.817
dicken,91.519
inspir,91.383
place,91.224
said,90.740
sure,90.683
didn,90.539
reason,90.029
sinc,89.574
am,89.309
especi,89.289
richest,89.110
pictur,88.863
call,88.138
chang,88.048
america,87.858
thought,87.812
audienc,87.768
last,87.654
tv,87.399
viewer,87.375
consid,87.324
masterpiec,87.009
els,86.948
bad,86.680
commit,86.124
remind,85.371
eye,84.765
lot,84.415
cinema,84.208
problem,84.197
onc,84.195
faith,83.847
chanc,83.302
tradit,83.257
banker,83.217
often,83.109
hatch,83.098
begin,83.064
almost,82.957
